epsilon,U,U_xi
0.01,8.778350545531056e-05,8.823029033399278e-05
0.01,8.796014346673508e-05,8.840782736692586e-05
0.01,8.813713691848034e-05,8.858572164924278e-05
0.01,8.831448652952341e-05,8.876397390358e-05
0.01,8.849219301884074e-05,8.894258485257329e-05
0.01,8.867025710540934e-05,8.912155521885906e-05
0.01,8.884867950820586e-05,8.930088572507326e-05
0.01,8.902746094620684e-05,8.948057709385184e-05
0.01,8.920660213838933e-05,8.966063004783123e-05
0.01,8.938610380372996e-05,8.984104530964735e-05
0.01,8.956596666120529e-05,9.002182360193617e-05
0.01,8.974619142979235e-05,9.020296564733408e-05
0.01,8.99267788284676e-05,9.03844721684769e-05
0.01,9.010772957734495e-05,9.056634388914364e-05
0.01,9.028904441030989e-05,9.074858154695513e-05
0.01,9.047072407027641e-05,9.093118588860648e-05
0.01,9.065276930030925e-05,9.111415766094444e-05
0.01,9.083518084347253e-05,9.129749761081501e-05
0.01,9.101795944283101e-05,9.148120648506501e-05
0.01,9.120110584144896e-05,9.166528503054063e-05
0.01,9.138462078239067e-05,9.184973399408813e-05
0.01,9.15685050087209e-05,9.203455412255423e-05
0.01,9.175275926350396e-05,9.221974616278516e-05
0.01,9.193738428980405e-05,9.240531086162718e-05
0.01,9.212238083068601e-05,9.259124896592698e-05
0.01,9.230774962921391e-05,9.27775612225307e-05
0.01,9.249349142845252e-05,9.296424837828501e-05
0.01,9.267960697146616e-05,9.315131118003618e-05
0.01,9.286609700131905e-05,9.333875037463044e-05
0.01,9.3052962261147e-05,9.352656670898592e-05
0.01,9.324020350219658e-05,9.371476093817275e-05
0.01,9.342782149080681e-05,9.39033338324304e-05
0.01,9.361581699493716e-05,9.409228616362702e-05
0.01,9.380419078254646e-05,9.428161870363012e-05
0.01,9.399294362159416e-05,9.44713322243078e-05
0.01,9.418207628003924e-05,9.466142749752773e-05
0.01,9.437158952584066e-05,9.485190529515754e-05
0.01,9.456148412695791e-05,9.504276638906541e-05
0.01,9.475176085135001e-05,9.523401155111898e-05
0.01,9.494242046697585e-05,9.542564155318584e-05
0.01,9.513346374179496e-05,9.56176571671342e-05
0.01,9.532489144376613e-05,9.581005916483153e-05
0.01,9.551670434084885e-05,9.600284831814596e-05
0.01,9.570890320100208e-05,9.619602539894515e-05
0.01,9.590148879218479e-05,9.638959117909673e-05
0.01,9.609446188235646e-05,9.658354643046887e-05
0.01,9.628782324230573e-05,9.677789192777324e-05
0.01,9.648157365962969e-05,9.697262846261564e-05
0.01,9.667571392801036e-05,9.716775683271758e-05
0.01,9.687024484113524e-05,9.736327783580625e-05
0.01,9.706516719269259e-05,9.755919226960953e-05
0.01,9.726048177637009e-05,9.775550093185471e-05
0.01,9.745618938585548e-05,9.795220462026919e-05
0.01,9.765229081483698e-05,9.814930413258077e-05
0.01,9.78487868570023e-05,9.834680026651681e-05
0.01,9.804567830603915e-05,9.854469381980467e-05
0.01,9.824296595563574e-05,9.874298559017218e-05
0.01,9.844065059947963e-05,9.894167637534648e-05
0.01,9.863873303125906e-05,9.914076697305549e-05
0.01,9.883721404466173e-05,9.934025818102652e-05
0.01,9.903609443337534e-05,9.954015079698688e-05
0.01,9.923537499108813e-05,9.974044561866446e-05
0.01,9.94350565119629e-05,9.994114344426409e-05
0.01,9.963513980257586e-05,0.00010014224508446724
0.01,9.983562568259456e-05,0.00010034375136311327
0.01,0.00010003651497229722,0.0001005456631046554
0.01,0.00010023780849196281,0.00010074798113354755
0.01,0.00010043950706186977,0.00010095070627424314
0.01,0.00010064161150229653,0.00010115383935119557
0.01,0.00010084412263352206,0.00010135738118885877
0.01,0.00010104704127582477,0.00010156133261168614
0.01,0.00010125036824948311,0.0001017656944441311
0.01,0.00010145410437477604,0.00010197046751064756
0.01,0.00010165825047198184,0.00010217565263568875
0.01,0.00010186280736137943,0.00010238125064370864
0.01,0.00010206777586324728,0.00010258726235916059
0.01,0.0001022731567978638,0.00010279368860649801
0.01,0.00010247895098550798,0.00010300053021017485
0.01,0.00010268515924645794,0.00010320778799464418
0.01,0.0001028917824068305,0.00010341546279022758
0.01,0.0001030988213109151,0.0001036235554455116
0.01,0.00010330627680647157,0.00010383206681257092
0.01,0.00010351414974126045,0.00010404099774348096
0.01,0.00010372244096304179,0.00010425034909031658
0.01,0.00010393115131957557,0.00010446012170515263
0.01,0.00010414028165862239,0.00010467031644006454
0.01,0.00010434983282794222,0.00010488093414712718
0.01,0.00010455980567529509,0.0001050919756784154
0.01,0.00010477020104844161,0.0001053034418860046
0.01,0.00010498101979514156,0.00010551533362196947
0.01,0.00010519226276315553,0.00010572765173838543
0.01,0.00010540393080024353,0.00010594039708732734
0.01,0.00010561602475416558,0.00010615357052087005
0.01,0.00010582854547268223,0.000106367172891089
0.01,0.00010604149380355355,0.000106581205050059
0.01,0.00010625487059609198,0.0001067956678514154
0.01,0.0001064686767163089,0.00010701056216557721
0.01,0.00010668291304023704,0.00010722588887303594
0.01,0.00010689758044403927,0.00010744164885441386
0.01,0.0001071126798038779,0.00010765784299033272
0.01,0.00010732821199591521,0.00010787447216141419
0.01,0.00010754417789631412,0.0001080915372482806
0.01,0.0001077605783812369,0.00010830903913155362
0.01,0.00010797741432684588,0.00010852697869185504
0.01,0.00010819468660930393,0.00010874535680980707
0.01,0.00010841239610477316,0.00010896417436603131
0.01,0.00010863054368941645,0.00010918343224114998
0.01,0.00010884913023939615,0.00010940313131578486
0.01,0.00010906815663087446,0.00010962327247055761
0.01,0.00010928762374001438,0.00010984385658609056
0.01,0.00010950753244297813,0.00011006488454300542
0.01,0.00010972788361604935,0.00011028635722204582
0.01,0.00010994867814571712,0.00011050827551421281
0.01,0.00011016991693583387,0.00011073064032795915
0.01,0.0001103916008919163,0.0001109534525734104
0.01,0.00011061373091948059,0.00011117671316069155
0.01,0.00011083630792404287,0.00011140042299992754
0.01,0.00011105933281111991,0.00011162458300124397
0.01,0.00011128280648622787,0.00011184919407476579
0.01,0.00011150672985488286,0.00011207425713061797
0.01,0.00011173110382260166,0.00011229977307892607
0.01,0.00011195592929490022,0.00011252574282981488
0.01,0.00011218120717729527,0.00011275216729340997
0.01,0.00011240693837530299,0.00011297904737983629
0.01,0.0001126331237944395,0.00011320638399921882
0.01,0.00011285976434022158,0.00011343417806168313
0.01,0.00011308686091816535,0.00011366243047735416
0.01,0.00011331441443378696,0.00011389114215635693
0.01,0.00011354242579633213,0.0001141203140125649
0.01,0.00011377089593506965,0.0001143499469799766
0.01,0.0001139998257858513,0.00011458004199920703
0.01,0.00011422921628453052,0.00011481060001087286
0.01,0.00011445906836696074,0.00011504162195559079
0.01,0.000114689382968996,0.00011527310877397803
0.01,0.00011492016102648977,0.00011550506140665132
0.01,0.00011515140347529543,0.00011573748079422729
0.01,0.00011538311125126709,0.00011597036787732321
0.01,0.0001156152852902579,0.00011620372359655557
0.01,0.00011584792652812198,0.00011643754889254163
0.01,0.00011608103590071272,0.00011667184470589808
0.01,0.00011631461434388358,0.00011690661197724156
0.01,0.00011654866279348859,0.00011714185164718936
0.01,0.00011678318218538098,0.00011737756465635792
0.01,0.00011701817345541478,0.00011761375194536458
0.01,0.00011725363754012908,0.00011785041445551507
0.01,0.00011748957539134741,0.00011808755314347743
0.01,0.00011772598797568606,0.00011832516898078782
0.01,0.00011796287626035213,0.00011856326293957616
0.01,0.00011820024121255274,0.00011880183599197233
0.01,0.00011843808379949559,0.00011904088911010693
0.01,0.00011867640498838762,0.00011928042326610964
0.01,0.00011891520574643651,0.00011952043943211103
0.01,0.00011915448704084936,0.000119760938580241
0.01,0.00011939424983883331,0.00012000192168262949
0.01,0.00011963449510759605,0.00012024338971140702
0.01,0.00011987522381434469,0.00012048534363870353
0.01,0.00012011643692628633,0.00012072778443664894
0.01,0.00012035813541062872,0.00012097071307737382
0.01,0.00012060032023457869,0.00012121413053300783
0.01,0.00012084299236534404,0.00012145803777568156
0.01,0.000121086152770136,0.00012170243577752916
0.01,0.00012132980242367696,0.000121947325518234
0.01,0.00012157394232191266,0.00012219270799881092
0.01,0.0001218185734644543,0.00012243858422395895
0.01,0.00012206369685091307,0.000122684955198377
0.01,0.00012230931348090082,0.00012293182192676467
0.01,0.00012255542435402853,0.00012317918541382072
0.01,0.00012280203046990804,0.00012342704666424472
0.01,0.00012304913282815057,0.0001236754066827356
0.01,0.0001232967324283673,0.0001239242664739924
0.01,0.0001235448302701701,0.00012417362704271467
0.01,0.00012379342735317013,0.00012442348939360135
0.01,0.0001240425246769786,0.00012467385453135147
0.01,0.00012429212324120738,0.00012492472346066453
0.01,0.00012454222404546743,0.00012517609718623934
0.01,0.0001247928280893706,0.00012542797671277544
0.01,0.0001250439363725281,0.0001256803630449719
0.01,0.0001252955498966567,0.00012593325718964385
0.01,0.0001255476696836657,0.0001261866601739019
0.01,0.0001258002967665489,0.00012644057303599755
0.01,0.00012605343217840726,0.00012669499681428986
0.01,0.00012630707695234227,0.0001269499325471387
0.01,0.00012656123212145473,0.00012720538127290295
0.01,0.00012681589871884618,0.00012746134402994244
0.01,0.00012707107777761752,0.00012771782185661633
0.01,0.00012732677033086974,0.0001279748157912837
0.01,0.00012758297741170436,0.0001282323268723044
0.01,0.00012783970005322238,0.00012849035613803758
0.01,0.00012809693928852466,0.00012874890462684238
0.01,0.00012835469615071282,0.00012900797337707859
0.01,0.00012861297167288756,0.00012926756342710518
0.01,0.00012887176688815047,0.00012952767581528188
0.01,0.00012913108282960246,0.0001297883115799679
0.01,0.00012939092053054297,0.0001300494717597218
0.01,0.00012965128103706406,0.00013031115740596013
0.01,0.00012991216541518162,0.00013057336959012436
0.01,0.0001301735747326082,0.00013083610938536161
0.01,0.00013043551005705717,0.00013109937786481954
0.01,0.00013069797245624095,0.00013136317610164497
0.01,0.00013096096299787286,0.00013162750516898565
0.01,0.0001312244827496656,0.0001318923661399886
0.01,0.00013148853277933172,0.00013215776008780087
0.01,0.00013175311415458468,0.0001324236880855702
0.01,0.00013201822794313704,0.00013269015120644358
0.01,0.00013228387521270146,0.00013295715052356812
0.01,0.00013255005703099128,0.0001332246871100915
0.01,0.00013281677446571892,0.0001334927620391605
0.01,0.00013308402858459777,0.00013376137638392298
0.01,0.0001333518204553404,0.00013403053121752582
0.01,0.00013362015114565948,0.00013430022761311614
0.01,0.00013388902172816277,0.00013457046664876106
0.01,0.0001341584332992433,0.0001348412494264338
0.01,0.00013442838696238476,0.00013511257705523468
0.01,0.00013469888382107177,0.0001353844506442648
0.01,0.00013496992497878815,0.0001356568713026243
0.01,0.00013524151153901845,0.00013592984013941436
0.01,0.00013551364460524673,0.00013620335826373535
0.01,0.0001357863252809569,0.00013647742678468778
0.01,0.00013605955466963363,0.00013675204681137278
0.01,0.00013633333387476088,0.00013702721945289074
0.01,0.00013660766399982264,0.00013730294581834208
0.01,0.00013688254614830354,0.000137579227016828
0.01,0.0001371579814236873,0.00013785606415744862
0.01,0.00013743397092945864,0.0001381334583493051
0.01,0.0001377105157691015,0.00013841141070149792
0.01,0.0001379876170460998,0.00013868992232312743
0.01,0.00013826527586491494,0.00013896899432427645
0.01,0.000138543493348772,0.00013924862783388708
0.01,0.00013882227063756074,0.00013952882399765077
0.01,0.0001391016088717356,0.00013980958396182672
0.01,0.00013938150919175004,0.00014009090887267295
0.01,0.00013966197273805858,0.00014037279987644862
0.01,0.0001399430006511148,0.00014065525811941202
0.01,0.0001402245940713725,0.00014093828474782152
0.01,0.00014050675413928608,0.00014122188090793627
0.01,0.0001407894819953093,0.00014150604774601456
0.01,0.00014107277877989578,0.00014179078640831478
0.01,0.00014135664563350004,0.00014207609804109595
0.01,0.00014164108369657552,0.00014236198379061627
0.01,0.00014192609410957667,0.00014264844480313483
0.01,0.0001422116780129572,0.0001429354822249099
0.01,0.00014249783654717078,0.0001432230972021999
0.01,0.00014278457085268708,0.00014351129088127922
0.01,0.00014307188207959658,0.00014380006441809193
0.01,0.00014335977140270565,0.000144089418993424
0.01,0.00014364824000067712,0.00014437935579193734
0.01,0.0001439372890521727,0.0001446698759982929
0.01,0.00014422691973585533,0.0001449609807971526
0.01,0.000144517133230387,0.0001452526713731776
0.01,0.00014480793071442968,0.0001455449489110291
0.01,0.00014509931336664629,0.00014583781459536903
0.01,0.0001453912823656988,0.00014613126961085854
0.01,0.00014568383889024928,0.00014642531514215886
