xi,U_eps_1e-02,U_eps_1e-04,U_eps_1e-06,U_eps_1e-08
-0.5435,0.7827533613152288,0.5506045077459037,0.5187619762008049,0.5129924056603665
-0.5429999999999999,0.7832250613266853,0.5509051789541783,0.519042019845818,0.5132688014886575
-0.5425,0.783697078680532,0.5512060481204766,0.5193222411015411,0.5135453715296044
-0.5419999999999999,0.7841694133473041,0.551507115447311,0.5196026401348037,0.5138221159443122
-0.5415,0.7846420652963121,0.5518083811382456,0.5198832171125628,0.514099034894147
-0.5409999999999999,0.7851150344944048,0.5521098453974561,0.52016397220195,0.5143761285407392
-0.5405,0.7855883209071933,0.5524115084291255,0.5204449055706349,0.5146533970459817
-0.54,0.7860619244978022,0.5527133704374366,0.5207260173863919,0.5149308405720328
-0.5395,0.7865358452281073,0.553015431626926,0.5210073078172043,0.5152084592813153
-0.5389999999999999,0.787010083057472,0.5533176922033235,0.5212887770315857,0.5154862533365181
-0.5385,0.7874846379439995,0.5536201523726116,0.5215704251981341,0.5157642229005958
-0.538,0.7879595098432556,0.5539228123407732,0.5218522524856948,0.5160423681367716
-0.5375,0.7884346987095333,0.5542256723138114,0.5221342590636283,0.5163206892085354
-0.5369999999999999,0.7889102044945642,0.5545287324984931,0.5224164451013649,0.5165991862796463
-0.5365,0.7893860271487929,0.5548319931025628,0.5226988107686195,0.5168778595141322
-0.536,0.7898621666200792,0.5551354543338279,0.5229813562356048,0.5171567090762915
-0.5355,0.7903386228549836,0.5554391164000967,0.5232640816725893,0.5174357351306932
-0.5349999999999999,0.7908153957974549,0.5557429795093101,0.5235469872501683,0.5177149378421774
-0.5345,0.7912924853901311,0.5560470438705476,0.5238300731394095,0.5179943173758569
-0.534,0.7917698915730137,0.5563513096934634,0.5241133395114287,0.5182738738971169
-0.5335,0.7922476142847799,0.5566557771877169,0.5243967865377092,0.5185536075716164
-0.5329999999999999,0.7927256534614455,0.5569604465629671,0.5246804143901784,0.5188335185652889
-0.5325,0.7932040090376885,0.5572653180292965,0.5249642232408077,0.5191136070443428
-0.532,0.7936826809455008,0.5575703917980188,0.5252482132619765,0.5193938731752623
-0.5315,0.7941616691155238,0.5578756680806711,0.5255323846264767,0.5196743171248082
-0.5309999999999999,0.7946409734756862,0.55818114708879,0.5258167375071441,0.519954939060018
-0.5305,0.795120593952554,0.5584868290339425,0.5261012720772617,0.5202357391482082
-0.53,0.7956005304699544,0.5587927141285571,0.5263859885104907,0.5205167175569733
-0.5295,0.7960807829503392,0.5590988025860248,0.5266708869805405,0.5207978744541876
-0.5289999999999999,0.7965613513133954,0.5594050946197873,0.5269559676616056,0.5210792100080055
-0.5285,0.7970422354774214,0.5597115904432859,0.5272412307282208,0.5213607243868625
-0.528,0.7975234353579246,0.5600182902701323,0.5275266763549796,0.5216424177594757
-0.5275,0.7980049508690112,0.5603251943151617,0.5278123047169933,0.5219242902948449
-0.527,0.7984867819219699,0.560632302793746,0.5280981159896774,0.522206342162253
-0.5265,0.7989689284266749,0.5609396159212596,0.5283841103485186,0.522488573531267
-0.526,0.799451390290157,0.5612471339130778,0.5286702879695516,0.5227709845717385
-0.5255,0.7999341674180186,0.5615548569850785,0.5289566490290781,0.523053575453805
-0.525,0.8004172597129927,0.5618627853544018,0.529243193703489,0.5233363463478901
-0.5245,0.8009006670763708,0.5621709192383829,0.5295299221697478,0.5236192974247043
-0.524,0.8013843894065474,0.5624792588543565,0.5298168346050485,0.5239024288552462
-0.5235,0.8018684266004632,0.5627878044197013,0.5301039311866967,0.5241857408108033
-0.523,0.8023527785521348,0.5630965561527598,0.5303912120925904,0.524469233462952
-0.5225,0.8028374451541115,0.5634055142728172,0.5306786775008225,0.5247529069835593
-0.522,0.8033224262959915,0.5637146789991977,0.5309663275896253,0.525036761544783
-0.5215,0.8038077218658921,0.5640240505512262,0.531254162537835,0.5253207973190728
-0.521,0.8042933317489532,0.56433362914844,0.5315421825244497,0.5256050144791709
-0.5205,0.8047792558288196,0.5646434150116859,0.5318303877286411,0.525889413198113
-0.52,0.8052654939861313,0.564953408362306,0.5321187783301874,0.5261739936492288
-0.5195,0.8057520461000202,0.5652636094216438,0.532407354509,0.5264587560061434
-0.519,0.8062389120465859,0.5655740184110458,0.5326961164452008,0.526743700442777
-0.5185,0.8067260917004061,0.56588463555245,0.5329850643195144,0.5270288271333471
-0.518,0.8072135849329988,0.5661954610690797,0.5332741983127736,0.5273141362523679
-0.5175,0.8077013916143462,0.5665064951843274,0.5335635186060618,0.5275996279746525
-0.517,0.8081895116113438,0.5668177381215849,0.5338530253810538,0.5278853024753128
-0.5165,0.8086779447893367,0.5671291901043055,0.5341427188195124,0.5281711599297606
-0.516,0.809166691010556,0.5674408513570138,0.5344325991034938,0.5284572005137077
-0.5155,0.8096557501356688,0.5677527221051522,0.5347226664156276,0.5287434244031686
-0.515,0.8101451220221999,0.5680648025741919,0.5350129209386145,0.5290298317744593
-0.5145,0.8106348065260963,0.5683770929896051,0.5353033628554948,0.5293164228041992
-0.514,0.8111248035001347,0.568689593577128,0.5355939923498574,0.5296031976693116
-0.5135,0.8116151127955,0.5690023045638886,0.5358848096053503,0.5298901565470252
-0.513,0.812105734260179,0.5693152261774684,0.5361758148060075,0.5301772996148735
-0.5125,0.8125966677405522,0.56962835864545,0.5364670081363826,0.5304646270506973
-0.512,0.8130879130797739,0.5699417021954216,0.5367583897810808,0.5307521390326442
-0.5115,0.8135794701193783,0.5702552570556618,0.5370499599251394,0.5310398357391707
-0.511,0.8140713386976444,0.5705690234557506,0.5373417187540819,0.5313277173490414
-0.5105,0.8145635186512173,0.570883001625413,0.5376336664534808,0.5316157840413319
-0.51,0.8150560098134587,0.571197191794373,0.5379258032093855,0.531904035995428
-0.5095,0.8155488120160816,0.5715115941924384,0.5382181292082957,0.5321924733910277
-0.509,0.8160419250874872,0.5718262090506008,0.5385106446367611,0.5324810964081406
-0.5085,0.8165353488544138,0.5721410366007386,0.5388033496818531,0.5327699052270904
-0.508,0.8170290831402588,0.5724560770747511,0.539096244531052,0.5330589000285153
-0.5075,0.8175231277667427,0.572771330704538,0.5393893293718972,0.5333480809933683
-0.507,0.8180174825522162,0.5730867977223255,0.5396826043924887,0.533637448302918
-0.5065,0.8185121473133384,0.5734024783618091,0.5399760697812955,0.5339270021387509
-0.506,0.8190071218633697,0.5737183728570961,0.5402697257268569,0.5342167426827708
-0.5055,0.8195024060138646,0.5740344814422943,0.5405635724183099,0.5345066701172002
-0.505,0.8199979995729496,0.5743508043515225,0.5408576100451181,0.5347967846245814
-0.5045,0.8204939023470308,0.5746673418196976,0.5411518387968335,0.5350870863877766
-0.504,0.8209901141390569,0.5749840940830474,0.5414462588636365,0.5353775755899706
-0.5035,0.8214866347502415,0.5753010613779213,0.5417408704359935,0.5356682524146691
-0.503,0.821983463978312,0.5756182439406687,0.5420356737044802,0.535959117045702
-0.5025,0.8224806016192456,0.5759356420077496,0.5423306688603283,0.5362501696672234
-0.502,0.8229780474655036,0.5762532558169251,0.5426258560950131,0.5365414104637117
-0.5015,0.8234758013077826,0.5765710856068067,0.5429212356001484,0.5368328396199719
-0.501,0.8239738629332342,0.5768891316160202,0.5432168075680216,0.5371244573211353
-0.5005,0.8244722321272295,0.5772073940831921,0.543512572191126,0.537416263752662
-0.5,0.8249709086715652,0.5775258732473479,0.5438085296621266,0.5377082591003398
-0.49949999999999994,0.8254698923462431,0.5778445693490549,0.5441046801743721,0.538000443550287
-0.499,0.8259691829276604,0.5781634826292505,0.5444010239213815,0.5382928172889515
-0.49849999999999994,0.8264687801904046,0.5784826133288731,0.544697561096885,0.5385853805031142
-0.498,0.8269686839054282,0.5788019616888791,0.5449942918952978,0.5388781333798872
-0.49749999999999994,0.8274688938418597,0.5791215279511408,0.5452912165111737,0.539171076106717
-0.497,0.8279694097651622,0.5794413123588429,0.5455883351393217,0.5394642088713837
-0.49649999999999994,0.8284702314389594,0.5797613151552711,0.5458856479752278,0.5397575318620033
-0.496,0.82897135862318,0.5800815365837115,0.5461831552144905,0.5400510452670281
-0.4955,0.8294727910758979,0.5804019768875942,0.5464808570530107,0.5403447492752474
-0.495,0.8299745285514617,0.5807226363117708,0.5467787536873506,0.5406386440757892
-0.4945,0.83047657080235,0.5810435151019027,0.5470768453141635,0.5409327298581202
-0.494,0.8309789175772858,0.5813646135036604,0.547375132130455,0.5412270068120475
-0.4935,0.8314815686231067,0.5816859317627148,0.5476736143338687,0.5415214751277198
-0.493,0.8319845236828646,0.5820074701252219,0.5479722921221234,0.5418161349956273
-0.4925,0.8324877824977103,0.5823292288389432,0.5482711656933413,0.5421109866066036
-0.492,0.8329913448049779,0.5826512081519716,0.5485702352462539,0.5424060301518265
-0.4915,0.8334952103400859,0.5829734083124005,0.5488695009796561,0.5427012658228192
-0.491,0.8339993788346052,0.5832958295684012,0.5491689630927986,0.5429966938114505
-0.4905,0.8345038500181753,0.5836184721693832,0.5494686217855071,0.5432923143099365
-0.49,0.8350086236165573,0.5839413363654266,0.5497684772576638,0.5435881275108417
-0.4895,0.8355136993535655,0.5842644224066524,0.5500685297096594,0.5438841336070794
-0.489,0.8360190769491052,0.5845877305440377,0.5503687793424201,0.5441803327919135
-0.4885,0.836524756121119,0.5849112610290689,0.5506692263569276,0.5444767252589584
-0.488,0.8370307365836094,0.5852350141134656,0.5509698709547234,0.5447733112021814
-0.4875,0.8375370180486011,0.5855589900499254,0.5512707133378413,0.5450700908159025
-0.487,0.838043600224147,0.5858831890914122,0.5515717537083752,0.5453670642947964
-0.4865,0.8385504828163066,0.5862076114913616,0.5518729922690269,0.5456642318338929
-0.486,0.839057665527137,0.5865322575041119,0.5521744292229452,0.5459615936285778
-0.4855,0.8395651480566856,0.5868571273841424,0.5524760647733499,0.5462591498745948
